,count,count,count,tested,tested,tested,percentage,percentage,percentage,Unknown tested,Unknown tested,Unknown tested,Unknown count,Unknown count,Unknown count,Unknown percentage,Unknown percentage,Unknown percentage,<20 tested,<20 tested,<20 tested,<20 count,<20 count,<20 count,<20 percentage,<20 percentage,<20 percentage,20-39 tested,20-39 tested,20-39 tested,20-39 count,20-39 count,20-39 count,20-39 percentage,20-39 percentage,20-39 percentage,30-39 tested,30-39 tested,30-39 tested,30-39 count,30-39 count,30-39 count,30-39 percentage,30-39 percentage,30-39 percentage,40-49 tested,40-49 tested,40-49 tested,40-49 count,40-49 count,40-49 count,40-49 percentage,40-49 percentage,40-49 percentage,50-59 tested,50-59 tested,50-59 tested,50-59 count,50-59 count,50-59 count,50-59 percentage,50-59 percentage,50-59 percentage,60-69 tested,60-69 tested,60-69 tested,60-69 count,60-69 count,60-69 count,60-69 percentage,60-69 percentage,60-69 percentage,70-79 tested,70-79 tested,70-79 tested,70-79 count,70-79 count,70-79 count,70-79 percentage,70-79 percentage,70-79 percentage,80+ tested,80+ tested,80+ tested,80+ count,80+ count,80+ count,80+ percentage,80+ percentage,80+ percentage
07-03,0.21428571428571427,0.7857142857142857,0.5,6.214285714285714,69.78571428571429,26.714285714285715,0.034482758620689655,0.0112589559877175,0.01871657754010695,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.35714285714285715,6.214285714285714,2.0,0.0,0.07142857142857142,0.0,0.0,0.011494252873563218,0.0,1.5714285714285714,8.5,3.0,0.5,0.21428571428571427,0.07142857142857142,0.3181818181818182,0.025210084033613443,0.023809523809523808,0.9285714285714286,11.428571428571429,4.571428571428571,0.0,0.21428571428571427,0.21428571428571427,0.0,0.01875,0.046875,1.1428571428571428,10.857142857142858,5.571428571428571,0.0,0.14285714285714285,0.07142857142857142,0.0,0.013157894736842105,0.01282051282051282,0.8571428571428571,12.142857142857142,5.142857142857143,0.0,0.0,0.0,0.0,0.0,0.0,0.5,9.571428571428571,2.7857142857142856,0.0,0.0,0.0,0.0,0.0,0.0,0.5714285714285714,7.071428571428571,2.5,0.0,0.21428571428571427,0.0,0.0,0.030303030303030304,0.0,0.2857142857142857,4.0,1.0,0.0,-0.07142857142857142,0.0,0.0,-0.017857142857142856,0.0
07-04,0.21428571428571427,0.7857142857142857,0.5,6.214285714285714,69.78571428571429,26.714285714285715,0.034482758620689655,0.0112589559877175,0.01871657754010695,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.35714285714285715,6.214285714285714,2.0,0.0,0.07142857142857142,0.0,0.0,0.011494252873563218,0.0,1.5714285714285714,8.5,3.0,0.5,0.21428571428571427,0.07142857142857142,0.3181818181818182,0.025210084033613443,0.023809523809523808,0.9285714285714286,11.428571428571429,4.571428571428571,0.0,0.21428571428571427,0.21428571428571427,0.0,0.01875,0.046875,1.1428571428571428,10.857142857142858,5.571428571428571,0.0,0.14285714285714285,0.07142857142857142,0.0,0.013157894736842105,0.01282051282051282,0.8571428571428571,12.142857142857142,5.142857142857143,0.0,0.0,0.0,0.0,0.0,0.0,0.5,9.571428571428571,2.7857142857142856,0.0,0.0,0.0,0.0,0.0,0.0,0.5714285714285714,7.071428571428571,2.5,0.0,0.21428571428571427,0.0,0.0,0.030303030303030304,0.0,0.2857142857142857,4.0,1.0,0.0,-0.07142857142857142,0.0,0.0,-0.017857142857142856,0.0
07-05,0.21428571428571427,0.7857142857142857,0.5,6.214285714285714,69.78571428571429,26.714285714285715,0.034482758620689655,0.0112589559877175,0.01871657754010695,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.35714285714285715,6.214285714285714,2.0,0.0,0.07142857142857142,0.0,0.0,0.011494252873563218,0.0,1.5714285714285714,8.5,3.0,0.5,0.21428571428571427,0.07142857142857142,0.3181818181818182,0.025210084033613443,0.023809523809523808,0.9285714285714286,11.428571428571429,4.571428571428571,0.0,0.21428571428571427,0.21428571428571427,0.0,0.01875,0.046875,1.1428571428571428,10.857142857142858,5.571428571428571,0.0,0.14285714285714285,0.07142857142857142,0.0,0.013157894736842105,0.01282051282051282,0.8571428571428571,12.142857142857142,5.142857142857143,0.0,0.0,0.0,0.0,0.0,0.0,0.5,9.571428571428571,2.7857142857142856,0.0,0.0,0.0,0.0,0.0,0.0,0.5714285714285714,7.071428571428571,2.5,0.0,0.21428571428571427,0.0,0.0,0.030303030303030304,0.0,0.2857142857142857,4.0,1.0,0.0,-0.07142857142857142,0.0,0.0,-0.017857142857142856,0.0
07-06,0.21428571428571427,0.7857142857142857,0.5,6.214285714285714,69.78571428571429,26.714285714285715,0.034482758620689655,0.0112589559877175,0.01871657754010695,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.35714285714285715,6.214285714285714,2.0,0.0,0.07142857142857142,0.0,0.0,0.011494252873563218,0.0,1.5714285714285714,8.5,3.0,0.5,0.21428571428571427,0.07142857142857142,0.3181818181818182,0.025210084033613443,0.023809523809523808,0.9285714285714286,11.428571428571429,4.571428571428571,0.0,0.21428571428571427,0.21428571428571427,0.0,0.01875,0.046875,1.1428571428571428,10.857142857142858,5.571428571428571,0.0,0.14285714285714285,0.07142857142857142,0.0,0.013157894736842105,0.01282051282051282,0.8571428571428571,12.142857142857142,5.142857142857143,0.0,0.0,0.0,0.0,0.0,0.0,0.5,9.571428571428571,2.7857142857142856,0.0,0.0,0.0,0.0,0.0,0.0,0.5714285714285714,7.071428571428571,2.5,0.0,0.21428571428571427,0.0,0.0,0.030303030303030304,0.0,0.2857142857142857,4.0,1.0,0.0,-0.07142857142857142,0.0,0.0,-0.017857142857142856,0.0
07-07,0.14285714285714285,0.5714285714285714,0.42857142857142855,4.428571428571429,47.0,17.928571428571427,0.03225806451612903,0.0121580547112462,0.02390438247011952,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.2857142857142857,3.5714285714285716,1.0,0.0,0.07142857142857142,0.0,0.0,0.019999999999999997,0.0,1.0714285714285714,5.285714285714286,2.2142857142857144,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.06666666666666667,0.013513513513513513,0.03225806451612903,0.5714285714285714,7.785714285714286,3.2857142857142856,0.0,0.21428571428571427,0.21428571428571427,0.0,0.027522935779816512,0.06521739130434782,1.0,7.357142857142857,3.642857142857143,0.0,0.07142857142857142,0.07142857142857142,0.0,0.009708737864077669,0.0196078431372549,0.5714285714285714,8.428571428571429,3.642857142857143,0.0,0.07142857142857142,0.0,0.0,0.00847457627118644,0.0,0.2857142857142857,6.642857142857143,1.2857142857142858,0.0,0.0,0.0,0.0,0.0,0.0,0.42857142857142855,5.071428571428571,1.8571428571428572,0.0,0.14285714285714285,0.0,0.0,0.028169014084507043,0.0,0.21428571428571427,2.857142857142857,0.8571428571428571,0.0,-0.07142857142857142,0.0,0.0,-0.024999999999999998,0.0
07-08,0.14285714285714285,0.5714285714285714,0.42857142857142855,4.428571428571429,47.0,17.928571428571427,0.03225806451612903,0.0121580547112462,0.02390438247011952,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.2857142857142857,3.5714285714285716,1.0,0.0,0.07142857142857142,0.0,0.0,0.019999999999999997,0.0,1.0714285714285714,5.285714285714286,2.2142857142857144,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.06666666666666667,0.013513513513513513,0.03225806451612903,0.5714285714285714,7.785714285714286,3.2857142857142856,0.0,0.21428571428571427,0.21428571428571427,0.0,0.027522935779816512,0.06521739130434782,1.0,7.357142857142857,3.642857142857143,0.0,0.07142857142857142,0.07142857142857142,0.0,0.009708737864077669,0.0196078431372549,0.5714285714285714,8.428571428571429,3.642857142857143,0.0,0.07142857142857142,0.0,0.0,0.00847457627118644,0.0,0.2857142857142857,6.642857142857143,1.2857142857142858,0.0,0.0,0.0,0.0,0.0,0.0,0.42857142857142855,5.071428571428571,1.8571428571428572,0.0,0.14285714285714285,0.0,0.0,0.028169014084507043,0.0,0.21428571428571427,2.857142857142857,0.8571428571428571,0.0,-0.07142857142857142,0.0,0.0,-0.024999999999999998,0.0
07-09,0.2857142857142857,1.5714285714285714,0.5,8.928571428571429,95.5,41.5,0.032,0.016454749439042633,0.012048192771084338,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.7142857142857143,9.428571428571429,5.428571428571429,0.0,0.42857142857142855,0.0,0.0,0.04545454545454545,0.0,1.7857142857142858,12.0,4.428571428571429,0.07142857142857142,0.14285714285714285,0.14285714285714285,0.039999999999999994,0.011904761904761904,0.03225806451612903,1.3571428571428572,15.214285714285714,6.357142857142857,0.0,0.42857142857142855,0.21428571428571427,0.0,0.028169014084507043,0.033707865168539325,1.5714285714285714,14.714285714285714,9.571428571428571,0.0,0.2857142857142857,0.07142857142857142,0.0,0.019417475728155338,0.007462686567164179,1.4285714285714286,16.357142857142858,7.642857142857143,0.07142857142857142,0.07142857142857142,0.0,0.049999999999999996,0.004366812227074236,0.0,0.7857142857142857,13.357142857142858,3.357142857142857,0.0,0.07142857142857142,0.0,0.0,0.0053475935828877,0.0,0.7142857142857143,9.571428571428571,3.142857142857143,0.0,0.21428571428571427,0.0,0.0,0.022388059701492536,0.0,0.5714285714285714,4.857142857142857,1.4285714285714286,0.0,-0.07142857142857142,0.0,0.0,-0.014705882352941176,0.0
07-10,0.21428571428571427,1.4285714285714286,0.35714285714285715,7.142857142857143,78.85714285714286,34.5,0.029999999999999995,0.018115942028985508,0.010351966873706004,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.6428571428571429,8.428571428571429,4.928571428571429,0.0,0.42857142857142855,0.0,0.0,0.05084745762711864,0.0,1.1428571428571428,9.642857142857142,3.2857142857142856,0.0,0.07142857142857142,0.14285714285714285,0.0,0.007407407407407408,0.043478260869565216,1.0,12.214285714285714,5.142857142857143,0.0,0.35714285714285715,0.14285714285714285,0.0,0.029239766081871347,0.027777777777777773,1.2857142857142858,12.428571428571429,8.428571428571429,0.0,0.2857142857142857,0.07142857142857142,0.0,0.022988505747126436,0.00847457627118644,1.2142857142857142,13.285714285714286,6.071428571428571,0.07142857142857142,0.07142857142857142,0.0,0.058823529411764705,0.005376344086021505,0.0,0.6428571428571429,10.857142857142858,2.9285714285714284,0.0,0.07142857142857142,0.0,0.0,0.006578947368421052,0.0,0.6428571428571429,7.857142857142857,2.642857142857143,0.0,0.14285714285714285,0.0,0.0,0.01818181818181818,0.0,0.5714285714285714,4.142857142857143,0.9285714285714286,0.0,0.0,0.0,0.0,0.0,0.0
07-11,0.21428571428571427,1.4285714285714286,0.35714285714285715,7.142857142857143,78.85714285714286,34.5,0.029999999999999995,0.018115942028985508,0.010351966873706004,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.6428571428571429,8.428571428571429,4.928571428571429,0.0,0.42857142857142855,0.0,0.0,0.05084745762711864,0.0,1.1428571428571428,9.642857142857142,3.2857142857142856,0.0,0.07142857142857142,0.14285714285714285,0.0,0.007407407407407408,0.043478260869565216,1.0,12.214285714285714,5.142857142857143,0.0,0.35714285714285715,0.14285714285714285,0.0,0.029239766081871347,0.027777777777777773,1.2857142857142858,12.428571428571429,8.428571428571429,0.0,0.2857142857142857,0.07142857142857142,0.0,0.022988505747126436,0.00847457627118644,1.2142857142857142,13.285714285714286,6.071428571428571,0.07142857142857142,0.07142857142857142,0.0,0.058823529411764705,0.005376344086021505,0.0,0.6428571428571429,10.857142857142858,2.9285714285714284,0.0,0.07142857142857142,0.0,0.0,0.006578947368421052,0.0,0.6428571428571429,7.857142857142857,2.642857142857143,0.0,0.14285714285714285,0.0,0.0,0.01818181818181818,0.0,0.5714285714285714,4.142857142857143,0.9285714285714286,0.0,0.0,0.0,0.0,0.0,0.0
07-12,0.21428571428571427,1.4285714285714286,0.35714285714285715,7.142857142857143,78.85714285714286,34.5,0.029999999999999995,0.018115942028985508,0.010351966873706004,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.6428571428571429,8.428571428571429,4.928571428571429,0.0,0.42857142857142855,0.0,0.0,0.05084745762711864,0.0,1.1428571428571428,9.642857142857142,3.2857142857142856,0.0,0.07142857142857142,0.14285714285714285,0.0,0.007407407407407408,0.043478260869565216,1.0,12.214285714285714,5.142857142857143,0.0,0.35714285714285715,0.14285714285714285,0.0,0.029239766081871347,0.027777777777777773,1.2857142857142858,12.428571428571429,8.428571428571429,0.0,0.2857142857142857,0.07142857142857142,0.0,0.022988505747126436,0.00847457627118644,1.2142857142857142,13.285714285714286,6.071428571428571,0.07142857142857142,0.07142857142857142,0.0,0.058823529411764705,0.005376344086021505,0.0,0.6428571428571429,10.857142857142858,2.9285714285714284,0.0,0.07142857142857142,0.0,0.0,0.006578947368421052,0.0,0.6428571428571429,7.857142857142857,2.642857142857143,0.0,0.14285714285714285,0.0,0.0,0.01818181818181818,0.0,0.5714285714285714,4.142857142857143,0.9285714285714286,0.0,0.0,0.0,0.0,0.0,0.0
07-13,0.21428571428571427,1.9285714285714286,0.6428571428571429,9.785714285714286,113.57142857142857,52.0,0.0218978102189781,0.016981132075471698,0.012362637362637364,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.8571428571428571,13.5,8.428571428571429,0.0,0.6428571428571429,0.0,0.0,0.04761904761904762,0.0,1.5714285714285714,14.642857142857142,5.428571428571429,0.07142857142857142,0.14285714285714285,0.2857142857142857,0.045454545454545456,0.00975609756097561,0.05263157894736842,1.4285714285714286,16.285714285714285,7.214285714285714,0.07142857142857142,0.42857142857142855,0.21428571428571427,0.049999999999999996,0.02631578947368421,0.0297029702970297,1.7142857142857142,17.785714285714285,12.714285714285714,0.0,0.2857142857142857,0.07142857142857142,0.0,0.01606425702811245,0.0056179775280898875,1.5714285714285714,19.071428571428573,8.285714285714286,0.0,0.14285714285714285,0.0,0.0,0.007490636704119849,0.0,1.0,15.0,4.357142857142857,0.0,0.14285714285714285,0.07142857142857142,0.0,0.009523809523809523,0.01639344262295082,1.0714285714285714,11.142857142857142,4.0,0.0,0.14285714285714285,0.0,0.0,0.01282051282051282,0.0,0.5714285714285714,6.071428571428571,1.4285714285714286,0.0,0.0,0.0,0.0,0.0,0.0
07-14,0.14285714285714285,1.5714285714285714,0.35714285714285715,8.214285714285714,92.5,44.857142857142854,0.017391304347826087,0.016988416988416986,0.007961783439490446,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.7857142857142857,11.785714285714286,8.428571428571429,0.0,0.5714285714285714,0.0,0.0,0.04848484848484848,0.0,1.2142857142857142,13.285714285714286,4.642857142857143,0.07142857142857142,0.14285714285714285,0.21428571428571427,0.058823529411764705,0.01075268817204301,0.04615384615384615,1.2857142857142858,13.357142857142858,5.714285714285714,0.07142857142857142,0.2857142857142857,0.07142857142857142,0.055555555555555546,0.0213903743315508,0.012499999999999999,1.2142857142857142,13.714285714285714,11.285714285714286,0.0,0.21428571428571427,0.0,0.0,0.015625,0.0,1.5,15.5,6.785714285714286,0.0,0.07142857142857142,0.0,0.0,0.004608294930875576,0.0,0.8571428571428571,11.857142857142858,4.0,0.0,0.14285714285714285,0.07142857142857142,0.0,0.012048192771084336,0.017857142857142856,0.8571428571428571,8.714285714285714,2.857142857142857,0.0,0.14285714285714285,0.0,0.0,0.01639344262295082,0.0,0.5,4.214285714285714,1.1428571428571428,0.0,0.0,0.0,0.0,0.0,0.0
07-15,0.21428571428571427,1.5,0.42857142857142855,7.785714285714286,94.35714285714286,47.07142857142857,0.027522935779816512,0.015897047691143074,0.009104704097116844,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.6428571428571429,12.142857142857142,9.071428571428571,0.0,0.5714285714285714,0.0,0.0,0.047058823529411764,0.0,1.2142857142857142,13.071428571428571,5.142857142857143,0.07142857142857142,0.14285714285714285,0.21428571428571427,0.058823529411764705,0.01092896174863388,0.041666666666666664,1.2857142857142858,13.285714285714286,5.714285714285714,0.14285714285714285,0.2857142857142857,0.07142857142857142,0.11111111111111109,0.02150537634408602,0.012499999999999999,1.2142857142857142,14.071428571428571,11.5,0.0,0.21428571428571427,0.0,0.0,0.015228426395939085,0.0,1.3571428571428572,16.0,7.214285714285714,0.0,0.07142857142857142,0.0,0.0,0.004464285714285714,0.0,0.8571428571428571,12.714285714285714,4.071428571428571,0.0,0.14285714285714285,0.07142857142857142,0.0,0.011235955056179775,0.017543859649122806,0.6428571428571429,8.571428571428571,3.0714285714285716,0.0,0.07142857142857142,0.0,0.0,0.008333333333333333,0.0,0.5714285714285714,4.428571428571429,1.2857142857142858,0.0,0.0,0.0,0.0,0.0,0.0
07-16,0.35714285714285715,1.8571428571428572,0.42857142857142855,8.642857142857142,102.21428571428571,51.92857142857143,0.04132231404958678,0.018169112508735152,0.008253094910591471,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.6428571428571429,13.285714285714286,9.928571428571429,0.0,0.5714285714285714,0.0,0.0,0.04301075268817204,0.0,1.2857142857142858,14.0,5.785714285714286,0.14285714285714285,0.14285714285714285,0.21428571428571427,0.11111111111111109,0.01020408163265306,0.037037037037037035,1.4285714285714286,15.214285714285714,6.214285714285714,0.14285714285714285,0.2857142857142857,0.07142857142857142,0.09999999999999999,0.018779342723004695,0.011494252873563218,1.5,14.785714285714286,12.142857142857142,0.0,0.35714285714285715,0.0,0.0,0.024154589371980676,0.0,1.6428571428571428,17.428571428571427,8.214285714285714,0.0,0.14285714285714285,0.0,0.0,0.00819672131147541,0.0,0.9285714285714286,13.357142857142858,4.785714285714286,0.0,0.14285714285714285,0.07142857142857142,0.0,0.0106951871657754,0.014925373134328358,0.6428571428571429,9.357142857142858,3.2142857142857144,0.0,0.07142857142857142,0.0,0.0,0.007633587786259541,0.0,0.5714285714285714,4.714285714285714,1.6428571428571428,0.0,0.14285714285714285,0.0,0.0,0.0303030303030303,0.0
07-17,0.42857142857142855,1.8571428571428572,0.5,9.0,110.92857142857143,55.714285714285715,0.047619047619047616,0.016741790083708952,0.008974358974358974,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.6428571428571429,15.142857142857142,10.785714285714286,0.0,0.5714285714285714,0.0,0.0,0.03773584905660377,0.0,1.3571428571428572,14.642857142857142,6.071428571428571,0.14285714285714285,0.14285714285714285,0.21428571428571427,0.10526315789473684,0.00975609756097561,0.03529411764705882,1.5714285714285714,16.357142857142858,6.642857142857143,0.21428571428571427,0.2857142857142857,0.07142857142857142,0.13636363636363635,0.017467248908296942,0.01075268817204301,1.5,16.571428571428573,12.785714285714286,0.0,0.35714285714285715,0.0,0.0,0.021551724137931032,0.0,1.6428571428571428,18.928571428571427,8.928571428571429,0.0,0.14285714285714285,0.0,0.0,0.007547169811320755,0.0,1.0,14.142857142857142,5.285714285714286,0.0,0.14285714285714285,0.07142857142857142,0.0,0.0101010101010101,0.013513513513513513,0.7142857142857143,9.857142857142858,3.5714285714285716,0.0,0.07142857142857142,0.0,0.0,0.007246376811594202,0.0,0.5714285714285714,5.214285714285714,1.6428571428571428,0.0,0.14285714285714285,0.0,0.0,0.0273972602739726,0.0
07-18,0.42857142857142855,1.8571428571428572,0.5,9.0,110.92857142857143,55.714285714285715,0.047619047619047616,0.016741790083708952,0.008974358974358974,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.6428571428571429,15.142857142857142,10.785714285714286,0.0,0.5714285714285714,0.0,0.0,0.03773584905660377,0.0,1.3571428571428572,14.642857142857142,6.071428571428571,0.14285714285714285,0.14285714285714285,0.21428571428571427,0.10526315789473684,0.00975609756097561,0.03529411764705882,1.5714285714285714,16.357142857142858,6.642857142857143,0.21428571428571427,0.2857142857142857,0.07142857142857142,0.13636363636363635,0.017467248908296942,0.01075268817204301,1.5,16.571428571428573,12.785714285714286,0.0,0.35714285714285715,0.0,0.0,0.021551724137931032,0.0,1.6428571428571428,18.928571428571427,8.928571428571429,0.0,0.14285714285714285,0.0,0.0,0.007547169811320755,0.0,1.0,14.142857142857142,5.285714285714286,0.0,0.14285714285714285,0.07142857142857142,0.0,0.0101010101010101,0.013513513513513513,0.7142857142857143,9.857142857142858,3.5714285714285716,0.0,0.07142857142857142,0.0,0.0,0.007246376811594202,0.0,0.5714285714285714,5.214285714285714,1.6428571428571428,0.0,0.14285714285714285,0.0,0.0,0.0273972602739726,0.0
07-19,0.42857142857142855,1.8571428571428572,0.5,9.0,110.92857142857143,55.714285714285715,0.047619047619047616,0.016741790083708952,0.008974358974358974,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.6428571428571429,15.142857142857142,10.785714285714286,0.0,0.5714285714285714,0.0,0.0,0.03773584905660377,0.0,1.3571428571428572,14.642857142857142,6.071428571428571,0.14285714285714285,0.14285714285714285,0.21428571428571427,0.10526315789473684,0.00975609756097561,0.03529411764705882,1.5714285714285714,16.357142857142858,6.642857142857143,0.21428571428571427,0.2857142857142857,0.07142857142857142,0.13636363636363635,0.017467248908296942,0.01075268817204301,1.5,16.571428571428573,12.785714285714286,0.0,0.35714285714285715,0.0,0.0,0.021551724137931032,0.0,1.6428571428571428,18.928571428571427,8.928571428571429,0.0,0.14285714285714285,0.0,0.0,0.007547169811320755,0.0,1.0,14.142857142857142,5.285714285714286,0.0,0.14285714285714285,0.07142857142857142,0.0,0.0101010101010101,0.013513513513513513,0.7142857142857143,9.857142857142858,3.5714285714285716,0.0,0.07142857142857142,0.0,0.0,0.007246376811594202,0.0,0.5714285714285714,5.214285714285714,1.6428571428571428,0.0,0.14285714285714285,0.0,0.0,0.0273972602739726,0.0
07-20,0.5,2.642857142857143,0.7142857142857143,11.285714285714286,137.5,69.42857142857143,0.04430379746835443,0.01922077922077922,0.0102880658436214,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.7857142857142857,19.428571428571427,13.642857142857142,0.0,0.7142857142857143,0.0,0.0,0.03676470588235294,0.0,1.7857142857142858,19.0,8.142857142857142,0.2857142857142857,0.5714285714285714,0.2857142857142857,0.15999999999999998,0.03007518796992481,0.03508771929824561,2.142857142857143,19.857142857142858,8.928571428571429,0.14285714285714285,0.35714285714285715,0.14285714285714285,0.06666666666666667,0.017985611510791366,0.016,1.7142857142857142,20.428571428571427,15.428571428571429,0.0,0.42857142857142855,0.0,0.0,0.02097902097902098,0.0,1.9285714285714286,23.214285714285715,11.0,0.0,0.21428571428571427,0.07142857142857142,0.0,0.00923076923076923,0.006493506493506493,1.4285714285714286,16.928571428571427,6.5,0.0,0.14285714285714285,0.07142857142857142,0.0,0.008438818565400845,0.010989010989010988,0.9285714285714286,11.642857142857142,4.071428571428571,0.0,0.07142857142857142,0.0,0.0,0.006134969325153374,0.0,0.5714285714285714,6.928571428571429,1.7142857142857142,0.0,0.14285714285714285,0.0,0.0,0.020618556701030927,0.0
07-21,0.5,2.642857142857143,0.7142857142857143,11.285714285714286,137.5,69.42857142857143,0.04430379746835443,0.01922077922077922,0.0102880658436214,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.7857142857142857,19.428571428571427,13.642857142857142,0.0,0.7142857142857143,0.0,0.0,0.03676470588235294,0.0,1.7857142857142858,19.0,8.142857142857142,0.2857142857142857,0.5714285714285714,0.2857142857142857,0.15999999999999998,0.03007518796992481,0.03508771929824561,2.142857142857143,19.857142857142858,8.928571428571429,0.14285714285714285,0.35714285714285715,0.14285714285714285,0.06666666666666667,0.017985611510791366,0.016,1.7142857142857142,20.428571428571427,15.428571428571429,0.0,0.42857142857142855,0.0,0.0,0.02097902097902098,0.0,1.9285714285714286,23.214285714285715,11.0,0.0,0.21428571428571427,0.07142857142857142,0.0,0.00923076923076923,0.006493506493506493,1.4285714285714286,16.928571428571427,6.5,0.0,0.14285714285714285,0.07142857142857142,0.0,0.008438818565400845,0.010989010989010988,0.9285714285714286,11.642857142857142,4.071428571428571,0.0,0.07142857142857142,0.0,0.0,0.006134969325153374,0.0,0.5714285714285714,6.928571428571429,1.7142857142857142,0.0,0.14285714285714285,0.0,0.0,0.020618556701030927,0.0
07-22,0.5,3.142857142857143,0.9285714285714286,11.928571428571429,149.42857142857142,77.71428571428571,0.041916167664670656,0.021032504780114723,0.011948529411764707,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.8571428571428571,21.428571428571427,15.642857142857142,0.0,0.7142857142857143,0.0,0.0,0.03333333333333334,0.0,1.8571428571428572,20.857142857142858,8.642857142857142,0.2857142857142857,0.6428571428571429,0.35714285714285715,0.15384615384615383,0.03082191780821918,0.04132231404958678,2.357142857142857,21.142857142857142,10.5,0.14285714285714285,0.5,0.2857142857142857,0.0606060606060606,0.02364864864864865,0.027210884353741496,1.7857142857142858,22.785714285714285,17.285714285714285,0.0,0.5714285714285714,0.0,0.0,0.025078369905956112,0.0,2.0,25.071428571428573,12.285714285714286,0.0,0.2857142857142857,0.07142857142857142,0.0,0.011396011396011395,0.005813953488372092,1.5714285714285714,18.0,7.142857142857143,0.0,0.21428571428571427,0.07142857142857142,0.0,0.011904761904761904,0.009999999999999998,0.9285714285714286,12.857142857142858,4.428571428571429,0.0,0.07142857142857142,0.0,0.0,0.005555555555555555,0.0,0.5714285714285714,7.214285714285714,1.7857142857142858,0.0,0.14285714285714285,0.0,0.0,0.019801980198019802,0.0
07-23,0.35714285714285715,2.142857142857143,0.8571428571428571,7.428571428571429,100.92857142857143,54.142857142857146,0.04807692307692308,0.021231422505307854,0.015831134564643797,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.42857142857142855,15.571428571428571,11.214285714285714,0.0,0.35714285714285715,0.0,0.0,0.022935779816513763,0.0,1.1428571428571428,14.142857142857142,6.428571428571429,0.2857142857142857,0.5714285714285714,0.2857142857142857,0.25,0.0404040404040404,0.04444444444444444,1.5714285714285714,13.714285714285714,7.428571428571429,0.14285714285714285,0.2857142857142857,0.2857142857142857,0.09090909090909091,0.020833333333333332,0.03846153846153846,1.2142857142857142,15.428571428571429,11.357142857142858,0.0,0.35714285714285715,0.0,0.0,0.023148148148148147,0.0,1.1428571428571428,17.142857142857142,8.285714285714286,-0.07142857142857142,0.2857142857142857,0.07142857142857142,-0.0625,0.016666666666666666,0.008620689655172412,1.0714285714285714,11.285714285714286,5.071428571428571,0.0,0.14285714285714285,0.07142857142857142,0.0,0.012658227848101264,0.014084507042253521,0.6428571428571429,8.357142857142858,3.142857142857143,0.0,0.0,0.0,0.0,0.0,0.0,0.21428571428571427,5.214285714285714,1.2142857142857142,0.0,0.14285714285714285,0.0,0.0,0.0273972602739726,0.0
07-24,0.35714285714285715,2.5,1.0714285714285714,8.357142857142858,119.42857142857143,64.14285714285714,0.042735042735042736,0.020933014354066984,0.01670378619153675,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.42857142857142855,18.5,13.642857142857142,0.0,0.35714285714285715,0.42857142857142855,0.0,0.019305019305019305,0.031413612565445025,1.4285714285714286,16.357142857142858,7.285714285714286,0.2857142857142857,0.5714285714285714,0.35714285714285715,0.19999999999999998,0.034934497816593885,0.049019607843137254,1.7142857142857142,16.571428571428573,9.0,0.14285714285714285,0.5,0.2857142857142857,0.08333333333333333,0.030172413793103446,0.031746031746031744,1.4285714285714286,18.785714285714285,13.0,0.0,0.42857142857142855,0.07142857142857142,0.0,0.022813688212927757,0.005494505494505494,1.2857142857142858,19.571428571428573,9.928571428571429,-0.07142857142857142,0.2857142857142857,0.07142857142857142,-0.055555555555555546,0.0145985401459854,0.007194244604316546,1.1428571428571428,13.357142857142858,6.285714285714286,0.0,0.21428571428571427,0.07142857142857142,0.0,0.0160427807486631,0.011363636363636364,0.7142857142857143,10.214285714285714,3.5714285714285716,0.0,0.0,0.0,0.0,0.0,0.0,0.21428571428571427,6.0,1.4285714285714286,0.0,0.14285714285714285,0.0,0.0,0.023809523809523808,0.0
